"UF","CIDADE","COD_IBGE","TURNO","CANDIDATURA","PARTIDO","DATA","PERCENTUAL","INSTITUTO","REGISTRO_TSE","AMOSTRA","MARGEM"
"GO","Goiânia",5208707,2,"Maguito Vilela","MDB",2020-11-20,60,"Serpes","GO-07739/2020",601,3.91673741100363
"GO","Goiânia",5208707,2,"Vanderlan","PSD",2020-11-20,40,"Serpes","GO-07739/2020",601,3.91673741100363
"GO","Goiânia",5208707,2,"Maguito Vilela","MDB",2020-11-24,63,"Ibope","GO-02435/2020",602,3.85681637599452
"GO","Goiânia",5208707,2,"Vanderlan","PSD",2020-11-24,37,"Ibope","GO-02435/2020",602,3.85681637599452
"GO","Goiânia",5208707,2,"Maguito Vilela","MDB",2020-11-26,63,"RealTime","GO-04246/2020",850,3.24577002555996
"GO","Goiânia",5208707,2,"Vanderlan","PSD",2020-11-26,37,"RealTime","GO-04246/2020",850,3.24577002555996
"GO","Goiânia",5208707,2,"Maguito Vilela","MDB",2020-11-28,59,"Ibope","GO-05266/2020",602,3.92894328653866
"GO","Goiânia",5208707,2,"Vanderlan","PSD",2020-11-28,41,"Ibope","GO-05266/2020",602,3.92894328653866
"MT","Cuiabá",5103403,2,"Emanuel Pinheiro","MDB",2020-11-23,46,"Ibope","MT-07435/2020",602,3.98137991737935
"MT","Cuiabá",5103403,2,"Abilio","PODE",2020-11-23,54,"Ibope","MT-07435/2020",602,3.98137991737935
"MT","Cuiabá",5103403,2,"Emanuel Pinheiro","MDB",2020-11-27,50,"Ibope","MT-09681/2020",602,3.99418181510219
"MT","Cuiabá",5103403,2,"Abilio","PODE",2020-11-27,50,"Ibope","MT-09681/2020",602,3.99418181510219
